img_path,split,label,label_idx
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1211999571.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1213000553.jpg,valid,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1227728011.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1227728682.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1227740047.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1227743586.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1227757148.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1227762314.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1233594995.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1265535479.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1427888737.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428231165.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428353230.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428357358.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428369258.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428373539.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428374871.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428395433.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428457760.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428473491.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428528913.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428556015.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428612887.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428654680.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428702339.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428737517.jpg,valid,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428804220.jpg,valid,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428847174.jpg,valid,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428851426.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428857965.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428858085.jpg,valid,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428871113.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428900000.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428910530.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428971324.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1428971417.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1429006910.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1429006927.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1429232757.jpg,train,кликун,1
/media/ivan/Data1/hack_ai/train_dataset_Минприроды/разметка_кликун/images/1429240911.jpg,train,кликун,1
